title,label,content
【影】蔡英文隔745天終於受訪！正妹問「何時下台」 他：為何讓兩岸這麼緊張？,0,記者羅志華／綜合報導總統蔡英文27日將召開國安會議，預計會後開放提問，這次距上次受訪已間隔高達745天，《中天》特派員辮子妹26日街訪，民眾對蔡英文提問兵役、疫情、論文、物價、兩岸等議題，其中1位正妹要問，「民進黨這次輸這麼慘，她什麼時候可以下台?」蔡英文睽違744天，終於要在27日受訪，民眾對兵役、疫情、論文、物價、兩岸等面向提問，1名正妹想問「她什麼時候可以下台」。（圖／中天新聞）蔡英文27日召開國安會議，預計將於會後宣布將兵役延為1年，也將開放提問，民眾近年受疫情衝擊，對政府有諸多不滿，1名女子表示，想問蔡英文「我們國家有總統嗎？」、「這2年在官邸幹嘛？」，也有人好奇為什麼她突然接受提問了，想問「為什麼要延長兵役」。1位民眾想問蔡英文是不是打高端？有人看了媒體人彭文正對蔡英文論文的控訴，想聽她親口解釋，也有民眾想問她對自己的施政如何評價「覺得自己做得好嗎？」，1名正妹更直接問，「民進黨這次輸那麼慘，她什麼時候可以下台，換黨執政」。1名年輕男子支持兵役延長，但想問蔡英文為何讓兩岸這麼緊張。（圖／中天新聞）對於兵役延為1年，1名年輕男子支持，但想問蔡英文為何要讓兩岸這麼緊張，應該和平一點，也有民眾嗆聲「不想變成烏克蘭」，蔡英文造成這樣的局面，就應承諾不會落跑，也有人力挺保家衛國，應延長兵役，1名家長則表示有些擔心。
高雄藍營分裂 陸淑美開嗆！一篇文痛電「二位曾姓議員」,0,李奕緯／綜合報導高雄市議員曾俊傑退出國民黨倒戈綠營當選副議長，並批國民黨參選議長的高雄市議員陸淑美「不會贏」，認為應提名前議長曾麗燕，陸淑美臉書26日發聲反擊，痛批二位曾姓議員想把敗選責任推給她，「秀下限無底限」。陸淑美（圖／翻攝陸淑美臉書）陸淑美臉書26日發文：「還原本黨議長人選提名過程…是非公理，不容他人扭曲汙衊。12月25日高雄市正副議長選舉，二位曾姓議員為牟私利，幾乎造成本黨的分裂，淑美為求黨籍同志日後能繼續團結，未有一句惡言。豈知二位曾姓議員卻透過特定媒體放話，試圖將本黨在高雄市議長敗選責任推給陸淑美，想為自己身陷『背骨』、『叛黨』、『吃裡扒外』惡名脫身。對他們的這種行為，只有『秀下限無底限』可以形容！」陸淑美指出：「自國民黨開放議長提名登記以來，淑美就表明公開主動爭取，並參與高雄市黨部11月29日會議，兩日內有19位本黨議員同志以書面推薦淑美參選議長。在黃健庭秘書長見證下，12月16日曾前議長與淑美共同簽屬協議書，確認需取得推薦書作為競逐議長提名之依據，12月19日淑美準時繳交推薦書。依照黨內民主機制，淑美正大光明取得代表本黨參選議長的合法性，於是黨提名淑美參選議長。」陸淑美強調：「曾前議長當時不繳推薦書，推說是『不好意思』，如今由特定媒體放話說有4席無黨支持，請問選前為何不說，而是選後放話？只能說是無憑無據，也無意義。淑美深信，成事不必在我，但必須有人出來成事。身為國民黨員，淑美希望黨部能夠實事求是，勿因循苟且。身為高雄市議會的最大黨，因為二位曾姓議員的私利，議長之位拱手讓人。此時若無『黨紀』、若不『清黨』，只會讓忠貞國民黨員寒心！」
【影】大新聞大爆卦/求饒高虹安？王淺秋曝高市府內幕比喻：林智堅恐連作夢都在怕,0,記者羅志華／綜合報導民眾黨高虹安25日就職新竹市長，前市長林智堅經過前一段神隱，同日發文祝賀，並希望「選舉時的指涉到此為止」，遭網友狠酸是在求饒大祕寶開挖，資深媒體人王淺秋26日在中天《大新聞大爆卦》指出，以她在高雄市府見識民進黨長期執政酬庸的經驗，推估林智堅若過去曾安插人事，現在可能很擔心有誰成為「吹哨者」，向高虹安陣營爆料。王淺秋(左)26日表示，林智堅（右）擔心新竹市府團隊出現「吹哨者」，恐怕連作夢都在害怕。（圖／中天新聞）王淺秋表示，她看了林智堅的發文覺得好好笑，似乎在向高虹安說「我還有很多親朋好友在裡面，放了他們」、「我還有好多案子，你輕一點好嗎?」，以她在高市府曾經的經驗，當時驚見民進黨長期執政下，不僅在其中安插政務官、大一點的聘僱官員，甚至連小小的工友都塞了很多，外面成立的基金會更是塞好塞滿。王淺秋認為，民進黨在新竹安插的人事，未來都可能被換掉，尤其這麼大的公共工程不斷追加預算，出了問題，這些經手人肯定掌握重要資訊，若其中有人跳船轉為「吹哨者」爆料，到時林智堅就真得向高虹安求饒了。王淺秋分析，現在民進黨對高虹安的司法追殺，也可能是在向新竹市公務員警示「他們隨時會把高虹安拉下來，她也做不了多久，所以你們也不要太快選邊跑」，林智堅本來只是擔心政治前途，現在如果連司法上的各種黑洞都要被挖出，只怕連作夢都在怕。王淺秋透露，林智堅此刻對總統蔡英文恐是又愛又恨，他當年本來想出國深造，待學成後才思考從政方向，但「小英男孩」太討喜，一再被徵召參選，弄到現在學位沒了，政治前途也一片茫然。
本週五1.7萬人先拿「這筆錢」 每人平均1.5萬元,0,李奕緯／綜合報導2021年度綜合所得稅第3批退稅案件，為便利民眾在農曆春節前提領，財政部將原定的核退日期明年1月18日，提前至本週五（12月30日），第3批退稅案件1.7萬餘件，金額2.6億餘元，平均每件退1萬5294元。新台幣（示意圖／達志影像）財政部台北國稅局向《壹蘋新聞網》表示，2021年度綜合所得稅退稅總件數7.8萬件，金額7.8億元，第3批退稅日期定於12月30日，符合第3批退稅案件計1.7萬餘件，金額2.6億餘元，平均每件退1萬5294元，台北國稅局表示，退稅款項將直接撥入指定之金融機構存款帳戶；採現金退稅者，將寄發退稅憑單，受退稅人可於2023年3月3日前利用金融機構存款帳戶提出交換；另外，退稅金額未滿5000元者，可攜帶退稅憑單、身分證、印章，至台灣銀行台北市各營業單位兌領現金。
統神槓館長嗆「雙標」：中天員工因你失業「法院打臉NCC你有幫說話嗎？」,0,記者羅志華／綜合報導近日遊戲實況主「史丹利」與網紅「館長」爆出健身房代言爭議，實況主TOYZ加入混戰，並稱與館長談了份150萬元的合約，統神怒嗆館長「找詐賭販毒的人代言健身房」揚言抵制，雙方加開戰場互轟，統神於25日直播怒斥，館長先前嗆《中天》紅媒至今拿不出證據，而且《中天》在官司中推翻NCC裁罰後也沒說話，也不曾關心《中天》員工生計，根本是雙標。統神揚言抵制館長健身房挨嗆，25日砲轟館長也不關心《中天》員工生計，在NCC被法院打臉後，也沒幫《中天》平反。（圖／翻攝Youtube）TOYZ（劉偉健）日前因涉販毒，一審判刑4年2月，又爆出曾詐賭實況主「丁特」備受爭議，他與史丹利都曾效忠職業電競戰隊「TPA」，並於2012年拿下《LOL》世界冠軍，對近日史丹利與館長爆出代言糾紛，也化身公道伯在網上評論，並稱與館長談了份150萬元的合約，答應前往進行格鬥訓練並代言產品。與TOYZ素有糾紛的統神火大了，批館長找「詐賭販毒」的人代言健身房，高喊抵制；館長回嗆旗下員工因此對統神不滿，揚言若健身房因此倒閉，要找統神負責。統神25日開直播回嗆，以條列式分析館長與TOYZ的事件時間軸，再嗆館長雙標，質疑「怎麼不去問問《中天》員工因為你而失業呢？」，指館長先前批《中天》是紅媒，到現在也提不出個屁證據，民進黨說《中天》紅媒，攻擊有大陸資金介入，有任何證據嗎？「沒有、沒有、0」，關台是說太多假新聞、未經查證內容，但法院認證《中天》新聞經合理查證，判決撤銷多案NCC裁罰，「有人替中天說話嗎？你館長有幫中天說話嗎？NCC吃屎長大的阿！？」、「你的員工只會怪你，不會怪我」。
【影】市長上任後走訪基層局處第一站在這！蔣萬安拜會北市警局 表示全力支持警方「嚴正執法」,0,記者陳奕廷／台北報導新科台北市長走訪的局處第一站是警局！蔣萬安先前曾表示他上任後，首先會「積極走訪基層相關局處」，一起攜手市府團隊努力解決問題，今天（26日）他首先前往台北市警局，也表示會全力支持警方依法行政與嚴正執法。新科台北市長蔣萬安，26日前往台北市警局。（圖／警方提供）蔣萬安強調，針對市民深惡痛絕的「黑道暴力、聚眾鬥毆、詐欺與毒品犯罪」，請警察局持續強力執法、打擊犯罪。另警察在「臺北隊」中擔任治安守護者的角色，日以繼夜、全年無休，非常感謝警察同仁的付出，他會全力支持依法行政、嚴正執法，並做同仁最堅實的後盾。新科台北市長蔣萬安，在台北市警局局長楊源明（左）陪同下視察。（圖／警方提供）而對即將到來的跨年活動、2023年的春節假期及台灣燈會活動，蔣萬安表示，市府團隊將秉持「戒慎恐懼、料敵從寬」的態度，做好萬全準備，請警察局配合交通局、消防局及觀傳局等單位密切合作，加強維安、交通疏導及防踩踏作為，以達零事故的目標。蔣萬安席間對警察同仁的需求和意見進行了解。（圖／警方提供）而蔣萬安也同時視察治安、交通各項警政工作推動執行情形，並了解警察同仁的需求和意見，對內湖地區交通疏導部分，他表示也請警察局配合交通局，做好短中長期程規劃，近期會先加派警力，提高見警率，落實路口淨空等強化執法作為，以緩解交通流量、提升交通服務。蔣萬安表示會全力支持警方嚴正執法。（圖／警方提供）北市警局也對此表示，會在現有的良好基礎上再接再厲，締造更佳的治安成效，為市民打造安全宜居的幸福城市。
戳破兵役延長真相！趙少康拋真正辦法「停止徵兵」,0,李奕緯／綜合報導總統蔡英文宣布明（27）日上午召開國安會議，討論「強化全民國防兵力結構調整方案」，預料可能拍板兵役延長為1年。中廣董事長趙少康臉書26日做圖批「孬」，並提出「停止徵兵」、「採取精兵政策，提高募兵待遇」。趙少康（圖／翻攝趙少康臉書）趙少康臉書26日發文：「兵役要延又要推責任，根本就是懦夫！蔡英文執政不行，搞政治卻很行。蔡英文要延長兵役，又怕得罪年輕人，只要行政院決定延長役期，送立法院『備查』就可以實施，現在民進黨硬是想把『備查』改為『審查』，堅持要立法院『審查』，就是要拉在野黨下水。在野黨若反對，就說你不愛台灣、跟老共唱和；在野黨若不得不贊成，就說兵役延長不光是民進黨決定的，年輕人要恨一起恨。民進黨是執政黨，擁有權力卻不敢負責任 ，『這就是典型的懦夫』，敢做不敢當。」趙少康指出：「蔡英文要搞徵兵制，就是因為美國壓力，加上募兵實施不成功。國防部預計要募兵21萬5千人，一直無法補實，『就是因為待遇不夠好』，二兵薪資只給3萬5千元，你到哪裡找？又想搞募兵又捨不得花錢，哪裡募得到好兵？人家美國一年花1000億美金在軍人薪資待遇福利上，同樣軍階，台灣連人家5分之1都不到，人家一名資深中士都比你少將旅長薪水還高，實在差太遠了。」趙少康強調：「我的看法是，『停止徵兵』，不要再想4個月、還是1年，說實在要真正訓練一位戰技精良的軍人1年也不夠。我認為要『採取精兵政策，提高募兵待遇』，大幅提升軍人待遇，同時提高軍人社會地位，加上買房、念大學都有優厚補助措施，讓大家覺得當兵是值得的，自然就有吸引力。」趙少康表示：「台灣少子化，過去一年有40萬新生兒，現在只剩16萬，之後若有一半及齡男性要去當兵，每年8-10萬男生被抓去數饅頭，會嚴重影響台灣整體的競爭力。當兵1年沒有生產力也沒有戰鬥力，募兵的質與量又不足，就是現在這樣的困境。所以我說，蔡英文搞『徵募並行』，最後搞到徵募兩邊都不行，實在是壞了國防，又害了年輕人。」
台灣人最想問蔡英文什麼問題？網「秒回這句」：釣出一堆人,0,記者 李俊毅／綜合報導蔡英文總統將接受媒體訪問！總統府發言人張惇涵今表示，蔡總統預計將於明（27）日下午3點半於總統府召開記者會，向社會各界報告並接受媒體提問。而這也是睽違2年多以來，蔡英文再度接受媒體訪問。對此，國民黨新北市議員葉元之就詢問廣大網友「大家最想記者問她什麼問題呢？」有網友回應「問她何時要下台？」被不少人按讚，更有數百名網友回應相關問題。總統蔡英文。（圖/資料照）葉元之26日在臉書向廣大網友發問，「睽違兩年多，蔡英文總統終於願意接受媒體提問了！大家最想記者問她什麼問題呢？」相關討論一出，吸引數百名網友留言熱烈討論。有網友表示，「問她何時要下台？」、「問她都躲在哪裡」、「為什麼要一直讀稿？」、「論文啦 不問論文要問啥 不過可能記者會馬上就結束了」、「問為啥七百多天不接受媒體提問」、「博士論文在那？」、「什麼時候蘇院長可以被換」、「廢話～當然是問她的論文啊！」、「744天 神隱老少女」、「為什麼要護航高端？為什麼一定要檔疫苗？」。蔡英文要開記者會一事，也在PTT掀起熱烈討論，「晚了 我們不要了」、「論文案勝訴就有底氣面對媒體了」、「開記者會，但是有說要給記者問嗎？不然就是套好的那幾家，跟沒有一樣」、「稿寫了兩年 終於可以發表了」。總統府發言人張惇涵今（26）日表示，蔡總統預計將於明（27）日上午10點於總統府召開國安高層會議，就「強化全民國防兵力結構調整方案」進行討論。而明天中午12點，則將邀請執政黨立法院黨團及立委，在台北賓館進行溝通討論；此外，總統並將於下午3點半於總統府召開記者會，向社會各界報告並接受媒體提問。而這也是睽違2年多以來，蔡英文再度接受媒體訪問。張惇涵表示，相關方案經國安會及國防部歷時兩年多的作業，將全民國防體系進行通盤檢視與調整，並研擬強化方案與配套措施。除了將於明天向社會各界報告外，總統府也期盼朝野政黨、民間團體、專家學者及社會各界，能夠進行更多良性討論與溝通，相信大家共同的目標是讓方案能夠更好。
5綠委齊喊普發1萬元！網怒嗆：「選輸才在演」,0,記者羅志華／綜合報導日前傳出政府今年超徵稅收達4500億元，「還稅於民」話題熱議，5名英系立委26日下午齊發圖文，主張向人民普發1萬元，網友見狀怒嗆「買票」，質疑為何疫情嚴重、經濟受創時不發，等到選舉慘敗後才發。今日數名綠委齊喊普發現金1萬元，或以現金券方式讓人民享受經濟成果，網友狠酸「買票」，質疑為何疫情嚴重時不發。（示意圖／達志影像）民進黨英系立委陳明文、蔡易餘、莊瑞雄、蘇治芬、羅致政等人，26日下午發圖文呼籲政府在財政負擔許可下，向人民普發1萬元，共享經濟成長的果實，似乎想彌補蔡政府強調經濟數字漂亮、人民卻無感的窘境。英系立委之外，民進黨各派系立委「綠色友誼連線」的何志偉、正國會陳亭妃、新系郭國文、湧言會王定宇、趙天麟、林楚茵、何欣純等人，也都響應讓人民共享經濟成長的成果，各自主張發放現金券或現金等形式。《PTT》網友狠酸，「除了發錢想不出政策嗎?」、「民進黨稅金用法：做風車、投股市、大灑幣」、「笑死，選輸才知道百姓的存在」、「勞健保都快破產還有閒錢發喔」、「選得爛用稅金買票，真夠垃圾」、「很綠共阿，拿人民的錢買人民的票」。
「還稅於民」蔡政府聽到了？ 蘇貞昌做出這指示,0,（文／中央社）今年稅課收入優於預期，外界關注能否還稅於民。行政院發言人羅秉成今天表示，行政院長蘇貞昌已指示各部會，研擬各項關於疫後振興及弱勢照顧的方案，相關方案也正由各部會彙整意見中。行政院長蘇貞昌（攝自中天新聞）今年總稅收估計可超過預算數新台幣4500億元，民進黨立委王定宇、趙天麟等湧言會成員，經濟成果應與全民共享，建議政府發現金或消費券，或是減免學貸、受影響傳產與服務業再行紓困等。民進黨立委陳明文、羅致政等英系立委也串連，建請行政院全面規劃，全民發放現金1萬元，讓台灣的經濟成果與民眾共享。羅秉成向中央社記者表示，台灣這幾年由於政府量入為出，加上防疫有成，經濟又能維持成長，中央政府才能夠連續幾年都有賸餘。羅秉成說，但這幾年因疫情與俄烏戰爭的影響，國際原物料急漲、能源價格上揚，明年全球經濟將面臨重大挑戰，民生經濟也會受到衝擊。羅秉成指出，為因應來年變局，蘇貞昌已指示各部會，研擬各項關於疫後振興及弱勢照顧的方案，相關方案也正由各部會彙整意見中。羅秉成表示，總統蔡英文近期將針對國內外經濟局勢，召開國安會議來討論並尋求共識，如果有達成任何具體方案，行政院會盡快對外說明。 
